Amplification	NN	amplification O TermTag
of	IN	of O TermTag
TGFb	NN	Tgfb GENE TermTag
Induced	VBN	induce O TermTag
ITGB6	NN	ITGB6 GENE TermTag
Gene	NN	gene O TermTag
Transcription	NN	transcription O TermTag
May	MD	may O TermTag
Promote	VB	promote O TermTag
Pulmonary	JJ	pulmonary O TermTag
Fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
a	DT	a dt NUPOS
devastating	JJ	devastating O TermTag
,	,	, , NUPOS
progressive	JJ	progressive O TermTag
disease	NN	disease O TermTag
with	IN	with O TermTag
poor	JJ	poor O TermTag
survival	NN	survival O TermTag
rates	NNS	rate O TermTag
and	CC	and O TermTag
limited	JJ	limited O TermTag
treatment	NN	treatment O TermTag
options	NNS	option O TermTag
.	.	. . NUPOS

Upregulation	NN	upregulation O TermTag
of	IN	of O TermTag
avb6	NN	avb6 O TermTag
integrins	NNS	integrin O TermTag
within	IN	within O TermTag
the	DT	the O TermTag
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
is	VBZ	be O TermTag
a	DT	a dt NUPOS
characteristic	JJ	characteristic O TermTag
feature	NN	feature O TermTag
of	IN	of O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
correlates	VBZ	correlate O TermTag
with	IN	with O TermTag
poor	JJ	poor O TermTag
patient	NN	patient O TermTag
survival	NN	survival O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
pro-fibrotic	JJ	pro-fibrotic O TermTag
cytokine	NN	cytokine O TermTag
TGFb1	NN	TGFb1 GENE TermTag
can	MD	can O TermTag
upregulate	VB	upregulate O TermTag
avb6	NN	avb6 O TermTag
integrin	NN	integrin O TermTag
expression	NN	expression O TermTag
but	CC	but O TermTag
the	DT	the O TermTag
molecular	JJ	molecular O TermTag
mechanisms	NNS	mechanism O TermTag
driving	VBG	drive O TermTag
this	DT	this O TermTag
effect	NN	effect O TermTag
have	VBP	have O TermTag
not	RB	not O TermTag
previously	RB	previous O TermTag
been	VBN	be O TermTag
elucidated	VBN	elucidate O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
confirm	VBP	confirm O TermTag
that	IN	that O TermTag
stimulation	NN	stimulation O TermTag
with	IN	with O TermTag
exogenous	JJ	exogenous O TermTag
TGFb1	NN	TGFb1 GENE TermTag
increases	VBZ	increase O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
integrin	NN	integrin O TermTag
b6	NN	b6 O TermTag
subunit	NN	subunit O TermTag
gene	NN	gene O TermTag
(	(	( ( NUPOS
ITGB6	NN	ITGB6 GENE TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
avb6	NN	avb6 O TermTag
integrin	NN	integrin O TermTag
cell	NN	cell O TermTag
surface	NN	surface O TermTag
expression	NN	expression O TermTag
in	IN	in O TermTag
a	DT	a dt NUPOS
time	NN	time O TermTag
-	:	- : NUPOS
and	CC	and O TermTag
concentration-dependent	JJ	concentration-dependent O TermTag
manner	NN	manner O TermTag
.	.	. . NUPOS

TGFb1-induced	JJ	tgfb1-induced O TermTag
ITGB6	NN	ITGB6 GENE TermTag
expression	NN	expression O TermTag
occurs	VBZ	occur O TermTag
via	IN	via O TermTag
transcriptional	JJ	transcriptional O TermTag
activation	NN	activation O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
ITGB6	NN	ITGB6 GENE TermTag
gene	NN	gene O TermTag
,	,	, , NUPOS
but	CC	but O TermTag
does	VBZ	do O TermTag
not	RB	not O TermTag
result	VB	result O TermTag
from	IN	from O TermTag
effects	NNS	effect O TermTag
on	IN	on O TermTag
ITGB6	NN	ITGB6 GENE TermTag
mRNA	NN	mRNA O TermTag
stability	NN	stability O TermTag
.	.	. . NUPOS

Basal	JJ	basal O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
ITGB6	NN	ITGB6 GENE TermTag
in	IN	in O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
avb6	NN	avb6 O TermTag
integrins	NNS	integrin O TermTag
on	IN	on O TermTag
,	,	, , NUPOS
lung	NN	lung O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
occurs	VBZ	occur O TermTag
via	IN	via O TermTag
homeostatic	JJ	homeostatic O TermTag
avb6-mediated	JJ	avb6-mediated O TermTag
TGFb1	NN	TGFb1 GENE TermTag
activation	NN	activation O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
absence	NN	absence O TermTag
of	IN	of O TermTag
exogenous	JJ	exogenous O TermTag
stimulation	NN	stimulation O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
can	MD	can O TermTag
be	VB	be O TermTag
amplified	VBN	amplify O TermTag
by	IN	by O TermTag
TGFb1	NN	TGFb1 GENE TermTag
activation	NN	activation O TermTag
.	.	. . NUPOS

Fundamentally	RB	fundamental O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
show	VBP	show O TermTag
for	IN	for O TermTag
the	DT	the O TermTag
first	JJ	first O TermTag
time	NN	time O TermTag
that	WDT	that O TermTag
TGFb1-induced	JJ	tgfb1-induced O TermTag
ITGB6	NN	ITGB6 GENE TermTag
expression	NN	expression O TermTag
occurs	VBZ	occur O TermTag
via	IN	via O TermTag
canonical	JJ	canonical O TermTag
Smad	NN	SMAD O TermTag
signalling	NN	signalling O TermTag
since	IN	since O TermTag
dominant	JJ	dominant O TermTag
negative	JJ	negative O TermTag
constructs	NNS	construct O TermTag
directed	VBN	direct O TermTag
against	IN	against O TermTag
Smad3	NN	Smad3 GENE TermTag
and	CC	and O TermTag
4	CD	4 crd NUPOS
inhibit	VBP	inhibit O TermTag
ITGB6	NN	ITGB6 GENE TermTag
transcriptional	JJ	transcriptional O TermTag
activity	NN	activity O TermTag
.	.	. . NUPOS

Furthermore	RB	furthermore O TermTag
,	,	, , NUPOS
disruption	NN	disruption O TermTag
of	IN	of O TermTag
a	DT	a dt NUPOS
Smad	NN	SMAD O TermTag
binding	NN	binding O TermTag
site	NN	site O TermTag
at	IN	at O TermTag
-798	CD	-798 O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
ITGB6	NN	ITGB6 GENE TermTag
promoter	NN	promoter O TermTag
abolishes	VBZ	abolish O TermTag
TGFb1-induced	JJ	tgfb1-induced O TermTag
ITGB6	NN	ITGB6 GENE TermTag
transcriptional	JJ	transcriptional O TermTag
activity	NN	activity O TermTag
.	.	. . NUPOS

Using	VBG	use O TermTag
chromatin	NN	chromatin O TermTag
immunoprecipitation	NN	immunoprecipitation O TermTag
we	PRP	we O TermTag
demonstrate	VBP	demonstrate O TermTag
that	IN	that O TermTag
TGFb1	NN	TGFb1 GENE TermTag
stimulation	NN	stimulation O TermTag
of	IN	of O TermTag
lung	NN	lung O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
results	VBZ	result O TermTag
in	IN	in O TermTag
direct	JJ	direct O TermTag
binding	NN	binding O TermTag
of	IN	of O TermTag
Smad3	NN	Smad3 GENE TermTag
,	,	, , NUPOS
and	CC	and O TermTag
Smad4	NN	Smad4 GENE TermTag
,	,	, , NUPOS
to	TO	to O TermTag
the	DT	the O TermTag
ITGB6	NN	ITGB6 GENE TermTag
gene	NN	gene O TermTag
promoter	NN	promoter O TermTag
within	IN	within O TermTag
this	DT	this O TermTag
region	NN	region O TermTag
.	.	. . NUPOS

Finally	RB	final O TermTag
,	,	, , NUPOS
using	VBG	use O TermTag
an	DT	a O TermTag
adenoviral	JJ	adenoviral O TermTag
TGFb1	NN	TGFb1 GENE TermTag
over-expression	NN	over-expression O TermTag
model	NN	model O TermTag
of	IN	of O TermTag
