Negative	JJ	negative O TermTag
regulation	NN	regulation O TermTag
of	IN	of O TermTag
myofibroblast	NN	myofibroblast O TermTag
differentiation	NN	differentiation O TermTag
by	IN	by O TermTag
PTEN	NN	PTEN GENE TermTag
(	(	( ( NUPOS
Phosphatase	NN	phosphatase O TermTag
and	CC	and O TermTag
Tensin	NNP	tensin O TermTag
Homolog	NNP	homolog O TermTag
Deleted	JJ	deleted O TermTag
on	IN	on O TermTag
chromosome	NN	chromosome O TermTag
10	CD	10 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

RATIONALE	NN	rationale O TermTag
:	:	: : NUPOS
Myofibroblasts	NNS	myofibroblast O TermTag
are	VBP	be O TermTag
primary	JJ	primary O TermTag
effector	NN	effector O TermTag
cells	NNS	cell O TermTag
in	IN	in O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Defining	VBG	define O TermTag
mechanisms	NNS	mechanism O TermTag
of	IN	of O TermTag
myofibroblast	NN	myofibroblast O TermTag
differentiation	NN	differentiation O TermTag
may	MD	may O TermTag
be	VB	be O TermTag
critical	JJ	critical O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
development	NN	development O TermTag
of	IN	of O TermTag
novel	JJ	novel O TermTag
therapeutic	JJ	therapeutic O TermTag
agents	NNS	agent O TermTag
.	.	. . NUPOS

OBJECTIVE	NN	objective O TermTag
:	:	: : NUPOS
To	TO	to O TermTag
show	VB	show O TermTag
that	IN	that O TermTag
myofibroblast	NN	myofibroblast O TermTag
differentiation	NN	differentiation O TermTag
is	VBZ	be O TermTag
regulated	VBN	regulate O TermTag
by	IN	by O TermTag
phosphatase	NN	phosphatase O TermTag
and	CC	and O TermTag
tensin	NN	tensin O TermTag
homolog	NN	homolog O TermTag
deleted	VBN	delete O TermTag
on	IN	on O TermTag
chromosome	NN	chromosome O TermTag
10	CD	10 O TermTag
(	(	( ( NUPOS
PTEN	NN	PTEN GENE TermTag
)	)	) ) NUPOS
activity	NN	activity O TermTag
in	FW	in O TermTag
vivo	FW	vivo O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
to	TO	to O TermTag
identify	VB	identify O TermTag
a	DT	a dt NUPOS
potential	JJ	potential O TermTag
mechanism	NN	mechanism O TermTag
by	IN	by O TermTag
which	WDT	which O TermTag
this	DT	this O TermTag
occurs	VBZ	occur O TermTag
.	.	. . NUPOS

METHODS	NNS	method O TermTag
:	:	: : NUPOS
We	PRP	we O TermTag
used	VBD	use O TermTag
tissue	NN	tissue O TermTag
sections	NNS	section O TermTag
of	IN	of O TermTag
surgical	JJ	surgical O TermTag
lung	NN	lung O TermTag
biopsies	NNS	biopsy O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
to	TO	to O TermTag
localize	VB	localize O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
PTEN	NN	PTEN GENE TermTag
and	CC	and O TermTag
alpha-smooth-muscle-actin	NN	alpha-smooth-muscle-actin GENE TermTag
(	(	( ( NUPOS
alpha-SMA	NN	alpha-SMA GENE TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

We	PRP	we O TermTag
used	VBD	use O TermTag
cell	NN	cell O TermTag
culture	NN	culture O TermTag
of	IN	of O TermTag
pten	NN	PTEN GENE TermTag
(	(	( ( NUPOS
-	:	- : NUPOS
/	:	/ : NUPOS
-	:	- : NUPOS
)	)	) ) NUPOS
and	CC	and O TermTag
wild-type	JJ	wild-type O TermTag
fibroblasts	NNS	fibroblast O TermTag
,	,	, , NUPOS
as	RB	as O TermTag
well	RB	well O TermTag
as	IN	as O TermTag
adenoviral	JJ	adenoviral O TermTag
strategies	NNS	strategy O TermTag
and	CC	and O TermTag
pharmacologic	JJ	pharmacologic O TermTag
inhibitors	NNS	inhibitor O TermTag
,	,	, , NUPOS
to	TO	to O TermTag
determine	VB	determine O TermTag
the	DT	the O TermTag
mechanism	NN	mechanism O TermTag
by	IN	by O TermTag
which	WDT	which O TermTag
PTEN	NN	PTEN GENE TermTag
inhibits	VBZ	inhibit O TermTag
alpha-SMA	NN	alpha-SMA GENE TermTag
,	,	, , NUPOS
fibroblast	NN	fibroblast O TermTag
proliferation	NN	proliferation O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
collagen	NN	collagen O TermTag
production	NN	production O TermTag
.	.	. . NUPOS

RESULTS	NNS	result O TermTag
:	:	: : NUPOS
In	IN	in O TermTag
human	JJ	human O TermTag
lung	NN	lung O TermTag
specimens	NNS	specimen O TermTag
of	IN	of O TermTag
IPF	NN	IPF O TermTag
,	,	, , NUPOS
myofibroblasts	NNS	myofibroblast O TermTag
within	IN	within O TermTag
fibroblastic	JJ	fibroblastic O TermTag
foci	NNS	focus O TermTag
demonstrated	VBD	demonstrate O TermTag
diminished	VBN	diminish O TermTag
PTEN	NN	PTEN GENE TermTag
expression	NN	expression O TermTag
.	.	. . NUPOS

Furthermore	RB	furthermore O TermTag
,	,	, , NUPOS
inhibition	NN	inhibition O TermTag
of	IN	of O TermTag
PTEN	NN	PTEN GENE TermTag
in	IN	in O TermTag
mice	NNS	mouse O TermTag
worsened	VBD	worsen O TermTag
bleomycin-induced	JJ	bleomycin-induced O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
pten	NN	PTEN GENE TermTag
(	(	( ( NUPOS
-	:	- : NUPOS
/	:	/ : NUPOS
-	:	- : NUPOS
)	)	) ) NUPOS
fibroblasts	NNS	fibroblast O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
in	IN	in O TermTag
normal	JJ	normal O TermTag
fibroblasts	NNS	fibroblast O TermTag
in	IN	in O TermTag
which	WDT	which O TermTag
PTEN	NNP	PTEN GENE TermTag
was	VBD	be O TermTag
inhibited	VBN	inhibit O TermTag
,	,	, , NUPOS
alpha-SMA	NN	alpha-SMA GENE TermTag
,	,	, , NUPOS
proliferation	NN	proliferation O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
collagen	NN	collagen O TermTag
production	NN	production O TermTag
was	VBD	be O TermTag
upregulated	VBN	upregulate O TermTag
