Matrix	NNP	matrix O TermTag
metalloproteinase	NN	metalloproteinase O TermTag
3	CD	3 crd NUPOS
is	VBZ	be O TermTag
a	DT	a dt NUPOS
mediator	NN	mediator O TermTag
of	IN	of O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
may	MD	may O TermTag
be	VB	be O TermTag
triggered	VBN	trigger O TermTag
by	IN	by O TermTag
epithelial	JJ	epithelial O TermTag
injury	NN	injury O TermTag
that	WDT	that O TermTag
results	VBZ	result O TermTag
in	IN	in O TermTag
aberrant	JJ	aberrant O TermTag
production	NN	production O TermTag
of	IN	of O TermTag
growth	NN	growth O TermTag
factors	NNS	factor O TermTag
,	,	, , NUPOS
cytokines	NNS	cytokine O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
proteinases	NNS	proteinase O TermTag
,	,	, , NUPOS
leading	VBG	lead O TermTag
to	TO	to O TermTag
proliferation	NN	proliferation O TermTag
of	IN	of O TermTag
myofibroblasts	NNS	myofibroblast O TermTag
,	,	, , NUPOS
excess	JJ	excess O TermTag
deposition	NN	deposition O TermTag
of	IN	of O TermTag
collagen	NN	collagen O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
destruction	NN	destruction O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
lung	NN	lung O TermTag
architecture	NN	architecture O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
precise	JJ	precise O TermTag
mechanisms	NNS	mechanism O TermTag
and	CC	and O TermTag
key	JJ	key O TermTag
signaling	NN	signaling O TermTag
mediators	NNS	mediator O TermTag
responsible	JJ	responsible O TermTag
for	IN	for O TermTag
this	DT	this O TermTag
aberrant	JJ	aberrant O TermTag
repair	NN	repair O TermTag
process	NN	process O TermTag
remain	VBP	remain O TermTag
unclear	JJ	unclear O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
assessed	VBD	assess O TermTag
the	DT	the O TermTag
importance	NN	importance O TermTag
of	IN	of O TermTag
matrix	NN	matrix GENE TermTag
metalloproteinase	NN	metalloproteinase GENE TermTag
3	NN	3 GENE TermTag
(	(	( ( NUPOS
MMP-3	NN	MMP-3 GENE TermTag
)	)	) ) NUPOS
in	IN	in O TermTag
the	DT	the O TermTag
pathogenesis	NN	pathogenesis O TermTag
of	IN	of O TermTag
IPF	NN	IPF O TermTag
through	IN	through O TermTag
i	LS	i LS PennPOS
)	)	) ) NUPOS
determination	NN	determination O TermTag
of	IN	of O TermTag
MMP-3	NN	MMP-3 GENE TermTag
expression	NN	expression O TermTag
in	IN	in O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
,	,	, , NUPOS
ii	LS	ii O TermTag
)	)	) ) NUPOS
in	FW	in O TermTag
vivo	FW	vivo O TermTag
experiments	NNS	experiment O TermTag
examining	VBG	examine O TermTag
the	DT	the O TermTag
relevance	NN	relevance O TermTag
of	IN	of O TermTag
MMP-3	NN	MMP-3 GENE TermTag
in	IN	in O TermTag
experimental	JJ	experimental O TermTag
models	NNS	model O TermTag
of	IN	of O TermTag
fibrosis	NN	fibrosis O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
iii	LS	iii O TermTag
)	)	) ) NUPOS
in	FW	in O TermTag
vitro	FW	vitro O TermTag
experiments	NNS	experiment O TermTag
to	TO	to O TermTag
elucidate	VB	elucidate O TermTag
possible	JJ	possible O TermTag
mechanisms	NNS	mechanism O TermTag
of	IN	of O TermTag
action	NN	action O TermTag
.	.	. . NUPOS

Gene	NN	gene O TermTag
expression	NN	expression O TermTag
analysis	NN	analysis O TermTag
,	,	, , NUPOS
quantitative	JJ	quantitative O TermTag
RT-PCR	NN	rt-pcr O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
Western	NN	western O TermTag
blot	NN	blot O TermTag
analysis	NN	analysis O TermTag
of	IN	of O TermTag
explanted	VBN	explant O TermTag
human	JJ	human O TermTag
lungs	NNS	lung O TermTag
revealed	VBD	reveal O TermTag
enhanced	VBN	enhance O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
MMP-3	NN	MMP-3 GENE TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
,	,	, , NUPOS
compared	VBN	compare O TermTag
with	IN	with O TermTag
control	NN	control O TermTag
.	.	. . NUPOS

Transient	JJ	transient O TermTag
adenoviral	JJ	adenoviral O TermTag
vector-mediated	JJ	vector-mediated O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
recombinant	JJ	recombinant O TermTag
MMP-3	NN	MMP-3 GENE TermTag
in	IN	in O TermTag
rat	NN	rat O TermTag
lung	NN	lung O TermTag
resulted	VBD	result O TermTag
in	IN	in O TermTag
accumulation	NN	accumulation O TermTag
of	IN	of O TermTag
myofibroblasts	NNS	myofibroblast O TermTag
and	CC	and O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Conversely	RB	converse O TermTag
,	,	, , NUPOS
MMP-3-null	JJ	mmp-3-null O TermTag
mice	NNS	mouse O TermTag
were	VBD	be O TermTag
protected	VBN	protect O TermTag
against	IN	against O TermTag
bleomycin-induced	JJ	bleomycin-induced O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

In	FW	in O TermTag
vitro	FW	vitro O TermTag
treatment	NN	treatment O TermTag
of	IN	of O TermTag
cultured	VBN	culture O TermTag
lung	NN	lung O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
with	IN	with O TermTag
purified	VBN	purify O TermTag
MMP-3	NN	MMP-3 GENE TermTag
resulted	VBD	result O TermTag
in	IN	in O TermTag
activation	NN	activation O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
b-catenin	NN	b-catenin GENE TermTag
signaling	NN	signaling O TermTag
pathway	NN	pathway O TermTag
,	,	, , NUPOS
via	IN	via O TermTag
cleavage	NN	cleavage O TermTag
of	IN	of O TermTag
E-cadherin	NN	e-cadherin GENE TermTag
,	,	, , NUPOS
and	CC	and O TermTag
induction	NN	induction O TermTag
of	IN	of O TermTag
epithelial-mesenchymal	JJ	epithelial-mesenchymal O TermTag
transition	NN	transition O TermTag
.	.	. . NUPOS

These	DT	these O TermTag
processes	NNS	process O TermTag
were	VBD	be O TermTag
inhibited	VBN	inhibit O TermTag
in	IN	in O TermTag
bleomycin-treated	JJ	bleomycin-treated O TermTag
MMP-3-null	NN	MMP-3-null O TermTag
mice	NNS	mouse O TermTag
,	,	, , NUPOS
as	IN	as O TermTag
assessed	VBN	assess O TermTag
by	IN	by O TermTag
cytosolic	JJ	cytosolic O TermTag
translocation	NN	translocation O TermTag
of	IN	of O TermTag
b-catenin	NN	b-catenin GENE TermTag
and	CC	and O TermTag
cyclin	NN	cyclin GENE TermTag
D1	NN	D1 GENE TermTag
